City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,callao,-12.0667,-12.0667,72.72,71.89,20,11.5,PE,1690153609
343,sarykemer,43.0,43.0,74.68,74.68,0,3.78,KZ,1690153609
344,oranjemund,-28.55,-28.55,53.04,53.04,96,11.52,NA,1690153609
345,kyzyl-mazhalyk,51.1333,51.1333,55.63,55.63,68,0.85,RU,1690153610
346,man,7.4125,7.4125,72.07,72.07,98,2.75,CI,1690153610
347,tazacorte,28.629,28.629,74.37,71.15,40,18.41,ES,1690153610
348,abagur,53.7308,53.7308,58.23,58.23,47,3.87,RU,1690153610
349,jolo,6.05,6.05,79.77,79.77,93,6.06,PH,1690153611
350,praia,14.9215,14.9215,79.34,79.34,40,10.36,CV,1690153611
351,lorengau,-2.0226,-2.0226,82.36,82.36,95,6.24,PG,1690153611
352,magnitka,55.3475,55.3475,54.99,53.42,54,3.62,RU,1690153612
353,tolanaro,-25.0319,-25.0319,65.61,65.61,14,8.28,MG,1690153612
354,lagos,6.5833,6.5833,75.52,75.52,100,6.11,NG,1690153390
355,gisborne,-38.6533,-38.6533,53.44,53.44,2,3.09,NZ,1690153613
356,preobrazheniye,42.9019,42.9019,68.88,68.88,100,3.33,RU,1690153613
357,prado,-17.3411,-17.3411,71.51,71.51,41,9.95,BR,1690153613
358,ghat,24.9647,24.9647,90.88,90.88,45,10.27,LY,1690153614
359,garoua boulai,5.8833,5.8833,66.33,66.33,100,1.25,CM,1690153614
360,labuan bajo,-8.4964,-8.4964,72.73,72.73,37,4.12,ID,1690153614
361,touros,-5.1989,-5.1989,76.35,76.35,23,16.02,BR,1690153356
362,veraval,20.9,20.9,80.67,80.67,98,16.89,IN,1690153615
363,portland,45.5234,45.5234,91.67,83.32,20,6.91,US,1690153168
364,codrington,-38.2667,-38.2667,53.15,53.15,100,6.82,AU,1690153616
365,zhongshu,24.5167,24.5167,62.11,62.11,73,2.46,CN,1690153616
366,ulaangom,49.9811,49.9811,60.49,60.49,42,1.34,MN,1690153616
367,nuuk,64.1835,64.1835,52.41,50.88,19,10.36,GL,1690153617
368,tralee,52.2704,52.2704,55.35,55.35,69,5.17,IE,1690153617
369,kokpekty,48.75,48.75,64.02,64.02,3,5.41,KZ,1690153617
370,tullamore,53.2739,53.2739,56.14,54.37,38,5.82,IE,1690153618
371,itoman,26.1247,26.1247,86.4,84.97,40,11.5,JP,1690153618
372,malvan,16.0667,16.0667,79.11,79.11,99,22.21,IN,1690153618
373,tsiombe,-25.3,-25.3,63.99,63.99,0,4.63,MG,1690153619
374,yaritagua,10.08,10.08,76.08,76.08,85,6.44,VE,1690153619
375,paita,-5.0892,-5.0892,73.35,73.35,2,17.78,PE,1690153619
376,iskateley,67.6803,67.6803,58.6,58.6,100,7.02,RU,1690153620
377,port saint john's,-31.6229,-31.6229,61.45,61.45,100,13.89,ZA,1690153620
378,abadeh,31.1608,31.1608,77.04,77.04,52,6.11,IR,1690153620
379,zaozersk,69.4005,69.4005,46.78,46.78,100,11.92,RU,1690153621
380,lakshettipet,18.8667,18.8667,76.96,76.96,96,9.55,IN,1690153621
381,petrolia,42.8668,42.8668,73.42,66.76,75,6.91,CA,1690153621
382,basse-terre,16.1667,16.1667,80.58,79.84,0,6.91,GP,1690153622
383,polyarnyy,69.1989,69.1989,48.56,48.56,100,14.07,RU,1690153623
384,tan-tan,28.438,28.438,68.02,68.02,30,13.44,MA,1690153623
385,fort st. john,56.2499,56.2499,69.69,69.69,75,9.22,CA,1690153451
386,san luis,-33.295,-33.295,50.63,50.63,91,14.58,AR,1690153624
387,nemuro,43.3236,43.3236,61.47,61.47,100,10.63,JP,1690153624
388,hovd,48.0056,48.0056,63.93,63.93,90,4.34,MN,1690153625
389,retreat,38.8245,38.8245,81.95,77.74,82,8.16,US,1690153625
390,colon,9.3592,9.3592,79.92,77.99,100,5.01,PA,1690153626
391,amga,60.8953,60.8953,72.55,72.55,94,1.59,RU,1690153626
392,beatrice,40.2681,40.2681,88.18,85.98,0,5.75,US,1690153453
393,minas de marcona,-15.2119,-15.2119,55.83,55.83,10,12.19,PE,1690153627
394,wingham,43.8879,43.8879,74.39,70.27,71,8.57,CA,1690153627
395,page,36.9147,36.9147,105.58,102.69,0,9.22,US,1690153628
396,belyy yar,53.6039,53.6039,60.69,60.69,0,4.47,RU,1690153628
397,rio grande,-32.035,-32.035,60.91,58.95,100,10.27,BR,1690153628
398,ola,59.5833,59.5833,64.15,64.15,93,1.01,RU,1690153629
399,sinaloa de leyva,25.8333,25.8333,93.15,93.15,66,9.95,MX,1690153629
400,opuwo,-18.0607,-18.0607,64.56,64.56,25,5.08,NA,1690153630
401,pandan,14.0453,14.0453,81.07,81.07,100,27.02,PH,1690153630
402,xiantao,30.3833,30.3833,80.55,80.55,10,3.4,CN,1690153631
403,laguna,38.421,38.421,105.08,93.29,0,9.22,US,1690153416
404,holualoa,19.6228,19.6228,82.24,76.1,40,11.5,US,1690153631
405,whakatane,-37.9585,-37.9585,54.88,52.52,28,6.17,NZ,1690153632
406,ambon,-3.6954,-3.6954,82.24,73.54,75,6.91,ID,1690153632
407,sakakah,29.9697,29.9697,90.14,90.14,4,10.6,SA,1690153632
408,lodwar,3.1191,3.1191,80.73,80.73,72,16.62,KE,1690153633
409,val-d'or,48.1002,48.1002,78.89,78.89,75,8.05,CA,1690153521
410,richfield,44.8833,44.8833,86.99,80.89,40,4.61,US,1690153484
411,kalabo,-14.97,-14.97,57.61,57.61,10,4.83,ZM,1690153634
412,galliano,29.4422,29.4422,87.8,82.4,40,4.61,US,1690153634
413,carlsbad,33.1581,33.1581,89.8,67.84,100,9.22,US,1690153635
414,margate,51.3813,51.3813,60.91,58.69,45,5.99,GB,1690153635
415,camiri,-20.05,-20.05,65.53,65.53,8,3.09,BO,1690153635
416,beyneu,45.3167,45.3167,86.5,86.5,52,13.96,KZ,1690153636
417,maracai,-22.6106,-22.6106,69.15,69.15,4,3.71,BR,1690153636
418,san lawrenz,36.0553,36.0553,85.41,85.41,0,9.13,MT,1690153636
419,motygino,58.1831,58.1831,61.41,61.41,20,2.06,RU,1690153637
420,west end,26.6833,26.6833,89.58,89.58,56,4.72,BS,1690153637
421,saudarkrokur,65.7461,65.7461,50.02,50.02,100,1.39,IS,1690153638
422,veragua arriba,19.5833,19.5833,87.08,87.01,88,8.84,DO,1690153638
423,tshikapa,-6.4167,-6.4167,79.81,79.81,50,0.54,CD,1690153638
424,vila franca do campo,37.7167,37.7167,72.01,72.01,41,7.11,PT,1690153639
425,afaahiti,-17.75,-17.75,82.27,82.27,59,11.14,PF,1690153639
426,tofol,5.3248,5.3248,78.58,78.58,100,3.44,FM,1690153640
427,verkhneural'sk,53.8769,53.8769,53.83,53.83,59,2.53,RU,1690153640
428,aldinga beach,-35.2793,-35.2793,53.2,46.22,100,1.99,AU,1690153640
429,nkove,-7.95,-7.95,73.58,73.58,29,6.29,TZ,1690153641
430,taro,-8.3862,-8.3862,69.85,69.8,89,1.16,ID,1690153641
431,kolokani,13.5728,13.5728,79.32,79.32,36,0.34,ML,1690153641
432,padang,-0.9492,-0.9492,73.45,73.45,100,3.27,ID,1690153642
433,puerto leguizamo,-0.1934,-0.1934,78.13,78.13,76,1.77,CO,1690153642
434,dalandzadgad,43.5708,43.5708,70.48,70.48,0,4.05,MN,1690153643
435,east london,-33.0153,-33.0153,57.81,57.81,100,15.95,ZA,1690153643
436,wynyard,-41.0,-41.0,50.9,50.9,64,8.5,AU,1690153643
437,aitape,-3.1374,-3.1374,77.95,77.95,100,5.75,PG,1690153644
438,bubaque,11.2833,11.2833,80.98,80.98,92,13.38,GW,1690153644
439,warmbad,-28.45,-28.45,48.2,48.2,93,4.88,NA,1690153645
440,pogar,52.554,52.554,53.89,53.89,70,6.35,RU,1690153645
441,casper,42.8666,42.8666,95.72,91.81,0,18.41,US,1690153645
442,bontang,0.1333,0.1333,76.19,76.19,90,8.39,ID,1690153647
443,revda,56.801,56.801,56.86,56.86,96,4.18,RU,1690153648
444,taoudenni,22.6783,22.6783,102.13,102.13,16,6.64,ML,1690153648
445,dubois,38.3464,38.3464,86.04,81.41,20,10.36,US,1690153649
446,el calafate,-50.3408,-50.3408,21.42,21.42,4,2.28,AR,1690153649
447,arraial do cabo,-22.9661,-22.9661,70.77,70.77,0,22.01,BR,1690153649
448,pak phanang,8.3511,8.3511,77.22,77.22,81,9.31,TH,1690153650
449,sarmiento,-45.5882,-45.5882,32.95,32.95,46,4.72,AR,1690153650
450,lesparre-medoc,45.3,45.3,65.52,65.52,100,6.33,FR,1690153650
451,irtyshsk,53.3333,53.3333,61.93,61.93,50,2.04,KZ,1690153651
452,big spring,32.2504,32.2504,101.1,99.05,0,5.01,US,1690153651
453,felipe carrillo puerto,19.5833,19.5833,91.0,91.0,44,7.81,MX,1690153651
454,manadhoo,5.7667,5.7667,82.35,82.35,94,13.0,MV,1690153652
455,rice lake,45.5061,45.5061,80.28,77.32,0,5.75,US,1690153652
456,vegreville,53.5001,53.5001,77.79,77.79,63,3.83,CA,1690153653
457,catemaco,18.4167,18.4167,81.05,81.05,98,3.31,MX,1690153653
458,estacion coahuila,32.1939,32.1939,107.98,107.98,86,15.05,MX,1690153653
459,akhmet'a,42.0311,42.0311,72.12,72.12,6,6.15,GE,1690153654
460,tavricheskoye,54.5851,54.5851,60.71,59.92,51,5.68,RU,1690153654
461,bardai,11.65,11.65,70.79,70.79,100,4.18,NG,1690153654
462,labytnangi,66.6572,66.6572,58.69,58.69,63,6.24,RU,1690153655
463,broome,42.2506,42.2506,80.67,72.68,40,5.75,US,1690153655
464,montrose,38.4166,38.4166,89.01,85.51,13,12.15,US,1690153656
465,cartagena del chaira,1.3349,1.3349,78.37,78.37,70,2.37,CO,1690153656
466,cold lake,54.4502,54.4502,71.67,71.67,99,1.3,CA,1690153639
467,shache,38.4167,38.4167,81.72,81.72,73,5.75,CN,1690153657
468,tshabong,-26.05,-26.05,55.45,55.45,82,8.05,BW,1690153657
469,conneaut,41.9476,41.9476,76.66,68.88,45,0.72,US,1690153658
470,sao joao da barra,-21.6403,-21.6403,71.69,71.69,10,11.7,BR,1690153658
471,nagqu,31.5,31.5,39.47,39.47,100,4.34,CN,1690153658
472,utete,-7.986,-7.986,70.02,70.02,83,1.43,TZ,1690153659
473,luanco,43.6152,43.6152,68.29,65.86,92,9.8,ES,1690153659
474,gadzhiyevo,69.2551,69.2551,48.31,48.31,100,14.63,RU,1690153659
475,daru,-9.0763,-9.0763,77.59,77.59,100,7.78,PG,1690153660
476,praia da vitoria,38.7333,38.7333,72.75,72.75,10,9.82,PT,1690153660
477,al artawiyah,26.5053,26.5053,89.28,89.28,79,5.82,SA,1690153661
478,hidrolandia,-4.4081,-4.4081,82.67,82.67,65,4.47,BR,1690153661
479,howrah,22.5892,22.5892,80.6,80.6,40,0.0,IN,1690153661
480,balancan,17.8,17.8,93.02,93.02,99,8.46,MX,1690153662
481,bousso,10.4795,10.4795,76.08,76.08,86,6.02,TD,1690153662
482,gorgan,36.8387,36.8387,82.51,82.51,48,3.67,IR,1690153663
483,ha'il,27.5219,27.5219,84.24,84.24,3,2.51,SA,1690153663
484,brookings,44.3114,44.3114,86.11,83.08,6,8.14,US,1690153523
485,newman,37.3138,37.3138,102.43,98.58,99,12.53,US,1690153664
486,vilyuysk,63.7553,63.7553,74.23,74.23,14,6.85,RU,1690153665
487,guroymak,38.5774,38.5774,71.26,71.26,1,3.74,TR,1690153665
488,alaghsas,17.0187,17.0187,83.17,83.17,92,17.47,NE,1690153666
489,khorixas,-20.3667,-20.3667,61.52,61.52,8,2.08,NA,1690153666
490,kasane,-17.8167,-17.8167,58.57,58.57,0,4.65,BW,1690153667
491,izberbash,42.5696,42.5696,73.45,73.09,13,2.39,RU,1690153667
492,nizhnesortymskiy,62.4397,62.4397,63.23,63.23,67,5.03,RU,1690153667
493,zhijiang,30.4214,30.4214,79.5,79.5,32,0.98,CN,1690153668
494,isla mujeres,21.2311,21.2311,87.85,87.17,87,9.26,MX,1690153669
495,laibin,23.7,23.7,79.07,79.07,77,4.16,CN,1690153669
496,lamu,-2.2717,-2.2717,75.42,75.42,60,15.26,KE,1690153670
497,cabo san lucas,22.8909,22.8909,91.06,86.18,100,9.22,MX,1690153670
498,north bend,43.4065,43.4065,78.24,65.07,0,13.8,US,1690153671
